INPUT:image	GOLDEN:result	HINT:text
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40000.png	Darker	This face has a Darker skin.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40007.png	Darker	This face has a Darker skin.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40001.png	Lighter	This face has a Lighter skin.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40009.png	Lighter	This face has a Lighter skin.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40019.png	Darker	This face has a Darker skin.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3996.png	Darker	This face has a Darker skin.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3991.png	Lighter	This face has a Lighter skin.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3959.png	Darker	This face has a Darker skin.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3939.png	Lighter	This face has a Lighter skin.
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_3933.png	Lighter	This face has a Lighter skin.
